ID,Date,Person,Starttime,Totaltime,Dewlap,Pushbobs,Movements
L100,14-Jun,maj,2:36:00AM,16,0,0,5
L100,18-Jun,maj,4:05:00AM,20,0,0,4
L101,13-Jun,jtl,9:45:00AM,20,0,0,4
L101,14-Jun,maj,2:12:00AM,20,9,41,2
L101,15-Jun,maj/jtl,10:52:00AM,17,6,6,15
L101,17-Jun,ss,8:52:00AM,13,17,11,9
L101,19-Jun,maj,10:29:00AM,20,6,4,4
L103,23-Jun,ss,5:00:00AM,20,6,2,28
L105,13-Jun,jtl,3:41:00PM,20,6,0,1
L105,17-Jun,jtl,3:45:00PM,17,13,29,34
L105,19-Jun,ss,9:12:00AM,19,0,6,4
L105,21-Jun,ss,8:51:00AM,20,0,6,7
L105,19-Jun,maj,4:09:00AM,20,0,15,9
L108,13-Jun,ss,4:22:00AM,20,0,5,8
L108,14-Jun,jtl,4:52:00PM,20,11,41,16
L108,17-Jun,maj,12:27:00PM,20,0,5,5
L108,18-Jun,ss,10:30:00AM,20,0,0,0
L108,22-Jun,jtl,10:27:00AM,20,0,5,34
L112,18-Jun,ss,8:44:00AM,20,0,1,8
L112,18-Jun,jtl,5:28:00PM,20,14,18,12
L112,22-Jun,jtl,5:04:00PM,20,0,0,13
L115,13-Jun,jtl,2:43:00PM,20,0,0,11
L115,15-Jun,jtl,8:30:00AM,20,0,0,3
L115,18-Jun,maj,9:11:00AM,20,0,0,6
L115,23-Jun,maj,10:29:00AM,20,0,9,1
L118,22-Jun,maj,4:49:00AM,20,27,32,15
L118,23-Jun,ss,10:49:00AM,20,4,0,5
L118,24-Jun,ss,11:04:00AM,20,0,2,12
L122,14-Jun,maj,10:20:00AM,20,3,0,14
L122,18-Jun,jtl,3:52:00PM,20,10,7,8
L122,22-Jun,jtl,11:23:00AM,20,0,0,10
L123,15-Jun,maj,10:14:00AM,20,0,0,4
L123,19-Jun,jtl,4:37:00AM,20,2,18,6
L123,22-Jun,maj,3:30:00AM,20,0,0,0
L126,24-Jun,ss,4:23:00AM,20,20,6,9
L127,17-Jun,jtl,11:03:00AM,20,0,2,15
L127,18-Jun,jtl,11:19:00AM,20,0,0,8
L128,15-Jun,jtl,10:46:00AM,20,0,0,1
L128,23-Jun,ss,4:31:00AM,17,0,2,17
L129,13-Jun,ss,10:44:00AM,20,8,13,7
L129,18-Jun,maj,5:23:00AM,20,0,0,3
L129,21-Jun,jtl,5:40:00PM,20,4,4,4
L129,22-Jun,ss,3:33:00AM,18,0,0,4
L131,21-Jun,ss,5:01:00AM,20,0,0,9
L131,24-Jun,jtl,11:53:00AM,14,0,0,0
L137,14-Jun,ss,8:03:00AM,16,0,8,6
L137,14-Jun,jtl,2:27:00PM,20,0,0,3
L137,15-Jun,ss,8:25:00AM,20,0,20,8
L137,17-Jun,jtl,8:31:00AM,20,1,1,2
L137,18-Jun,jtl,10:00:00AM,20,0,0,2
L138,21-Jun,jtl,8:38:00AM,15,0,0,19
L139,14-Jun,maj,4:28:00AM,20,0,0,3
L141,14-Jun,maj,11:19:00AM,20,0,5,4
L141,18-Jun,maj,9:42:00AM,20,10,0,4
L142,17-Jun,maj,2:54:00AM,16,0,10,8
L142,18-Jun,ss,9:27:00AM,19,11,12,24
L144,21-Jun,jtl,4:47:00PM,20,4,8,22
L145,19-Jun,maj,8:42:00AM,15,0,0,5
L145,19-Jun,maj,4:58:00AM,20,5,10,4
L145,21-Jun,ss,4:00:00AM,8,0,0,15
L145,23-Jun,ss,8:15:00AM,12,0,1,4
L147,15-Jun,jtl,9:28:00AM,17,0,1,3
L147,19-Jun,maj,5:38:00AM,19,0,2,4
L147,21-Jun,ss,8:04:00AM,20,33,68,21
L148,21-Jun,maj,8:16:00AM,20,11,10,8
L148,23-Jun,maj,10:55:00AM,20,0,0,2
L149,18-Jun,maj,11:00:00AM,20,0,0,6
L149,19-Jun,jtl,5:09:00AM,14,14,25,2
L152,19-Jun,ss,11:26:00AM,16,14,19,15
L152,19-Jun,ss,3:10:00AM,20,0,5,13
L152,22-Jun,ss/jtl,5:38:00AM,20,0,9,13
L152,23-Jun,ss,11:12:00AM,20,13,0,2
L153,18-Jun,ss,9:59:00AM,20,0,1,12
L158,22-Jun,jtl,3:09:00PM,14,6,12,4
L158,22-Jun,ss,9:09:00AM,20,10,5,6
L159,21-Jun,ss,8:29:00AM,20,0,38,17
L159,22-Jun,ss,4:42:00AM,18,0,17,17
L159,23-Jun,jtl,4:43:00PM,12,0,0,11
L302,18-Jul,ss,2:58:00AM,20,27,12,15
L302,18-Jul,ss,8:15:00AM,20,0,0,11
L302,19-Jul,ss,3:52:00AM,18,8,0,9
L302,19-Jul,ss,9:21:00AM,20,14,5,49
L302,22-Jul,maj,8:12:00AM,20,12,4,14
L304,17-Jul,ss,4:15:00AM,20,16,2,6
L304,18-Jul,ss,9:00:00AM,20,3,46,27
L304,19-Jul,jtl,9:21:00AM,20,15,37,30
L304,20-Jul,jtl,8:29:00AM,20,0,0,1
L304,26-Jul,ss,11:27:00AM,20,12,13,12
L306,17-Jul,ss,3:38:00AM,20,5,5,32
L306,18-Jul,ss,10:27:00AM,20,0,0,2
L306,19-Jul,jtl,11:11:00AM,20,0,0,11
L306,22-Jul,jtl,10:40:00AM,20,0,0,0
L306,24-Jul,maj,8:05:00AM,20,11,2,17
L307,17-Jul,jtl,2:45:00PM,20,18,28,11
L307,18-Jul,ss,9:27:00AM,20,7,7,21
L307,19-Jul,jtl,9:57:00AM,20,0,0,5
L307,19-Jul,jtl,3:27:00PM,20,11,17,27
L307,20-Jul,ss,11:08:00AM,20,0,0,6
L308,18-Jul,maj,3:03:00AM,20,5,0,19
L308,26-Jul,ss,4:29:00AM,20,0,0,9
L310,18-Jul,maj,9:28:00AM,20,3,96,23
L310,19-Jul,jtl,10:24:00AM,20,9,57,38
L310,20-Jul,jtl,9:08:00AM,20,4,10,48
L310,22-Jul,ss,10:54:00AM,16,3,0,14
L310,23-Jul,ss,2:52:00AM,20,3,0,11
L311,17-Jul,ss,2:19:00AM,20,9,21,21
L311,19-Jul,jtl,4:17:00PM,20,0,0,13
L311,20-Jul,jtl,8:06:00AM,20,3,8,6
L311,23-Jul,ss,3:34:00AM,20,0,0,4
L311,24-Jul,ss,9:37:00AM,20,0,0,3
L318,25-Jul,jtl,8:23:00AM,20,7,5,41
L318,27-Jul,jtl,10:08:00AM,20,13,3,5
L320,21-Jul,ss,4:43:00AM,20,4,1,26
L320,24-Jul,jtl,10:07:00AM,20,0,0,21
L325,20-Jul,ss,10:08:00AM,20,6,0,7
L326,20-Jul,jtl,4:35:00PM,8,0,0,20
L326,20-Jul,maj,10:41:00AM,20,3,12,14
L326,25-Jul,jtl,10:10:00AM,20,2,12,13
L326,26-Jul,jtl,11:26:00AM,20,22,70,31
L329,23-Jul,maj,3:48:00AM,20,6,8,30
L329,25-Jul,ss,11:09:00AM,15,0,4,14
L329,26-Jul,jtl,3:06:00PM,20,0,3,7
L341,20-Jul,maj,3:41:00AM,20,13,6,3
L355,22-Jul,maj,8:47:00AM,20,0,0,1
