ID,height,diameter,Vis
L100,1.49,2,0.924840794
L100,0.62,2.5,0.932023543
L100,0.88,2,0.856796103
L100,1.63,,
L101,0.51,2,0.843338685
L101,0.27,18,0.79349169
L101,1.22,1.5,0.823977661
L101,1.29,,
L101,1.11,3,0.837313407
L101,1.25,,
L101,0.99,,
L101,1.32,5,0.799503052
L101,0.98,7,0.789356044
L101,1.14,,
L101,1.26,,
L101,2.09,,
L101,1.27,,
L101,0.34,,
L101,2.03,,
L101,1.07,,
L101,0.97,,
L101,0.67,,
L101,1.24,,
L101,1.16,,
L101,1.31,,
L103,0.53,2.5,0.790926701
L103,0.37,9,0.912391197
L103,0.82,1.5,0.747125888
L105,1.5,8.5,0.950524918
L105,0.98,4,
L105,0.54,,
L105,1.7,3,0.960755654
L105,0.53,,
L105,2.93,1,0.891202496
L105,0.2,13,0.921054643
L105,1.36,0.5,0.7
L105,0.57,,
L105,1.73,2,1
L105,0.19,,
L105,0.73,,
L105,0.32,,
L105,1.49,,
L105,1.27,,
L105,2.47,,
L105,2.47,,
L105,0.12,,
L105,0,,
L108,1.65,6.5,0.895847633
L108,0.36,1,0.527510506
L108,0.68,5.5,0.857229533
L108,0.76,1,0.79803908
L108,1.07,7,0.611783371
L108,0.9,,
L108,0,,
L108,0.42,2,0.78676276
L108,1.46,,
L108,0,,
L108,0,,
L108,0.06,,
L108,0.82,,
L108,1.02,,
L108,1.14,,
L108,0.85,,
L108,1.29,,
L109,0.2,2,0.880932222
L112,0.65,3.5,0.905472982
L112,1.33,,
L112,0.45,4,0.878207977
L112,1.85,1,0.825131253
L112,0,,
L112,1.01,,
L112,0.25,9.5,0.990295388
L112,1.01,,
L112,1.66,,
L112,1.54,,
L115,0.64,4,0.956493779
L115,0.18,10,1
L115,0,ground,0.932823776
L115,0.2,,
L115,2.29,,
L115,1.68,,
L115,0.35,5,0.942777741
L115,0,,
L115,1.17,,
L115,1.37,,
L115,0.79,,
L115,0,,
L115,1.01,,
L118,1.07,4,0.854211977
L118,0.8,,
L118,0.57,3.8,0.839267999
L118,0.94,,
L118,1.37,,
L118,1.23,4,0.852698023
L118,1.23,5.5,0.920848684
L118,1.89,,
L118,1.03,,
L118,1.65,,
L118,1.44,,
L122,1,1,0.860375863
L122,0.92,5.4,0.965715156
L122,1.01,,
L122,1.67,7,0.870497303
L122,2.08,,
L122,0.67,0.5,0.465267129
L122,0.82,,
L122,2.52,,
L122,1.28,,
L122,0.83,,
L122,1.15,,
L122,1.23,,
L122,1.22,,
L123,0.93,2,0.797004623
L123,0.94,,
L123,0.88,4,0.746788269
L123,1.37,,
L123,0.22,,
L123,0.93,,
L123,0.75,3.5,0.867586204
L123,1.13,4,0.7
L123,0.59,5,0.864236587
L124,0.7,6,0.931533936
L124,0.1,,
L126,0.99,3.5,0.934709631
L126,0.94,,
L126,1.39,,
L127,1.19,3.5,0.838004102
L127,0.39,6,0.573172308
L127,0.48,8,0.827796789
L127,0.51,,
L127,0.43,,
L127,0.33,,
L128,0.74,5,0.927063386
L128,0.99,2,0.856919418
L128,0.56,,
L128,0.73,4.2,0.91518578
L128,0.71,,
L128,1.48,,
L128,0.53,,
L128,1.37,,
L129,1.13,2,0.937611243
L129,0,ground,0.916435465
L129,0.88,,
L129,0.32,0.8,0.25
L129,0.24,,
L129,0.11,9,0.71400288
L129,0.17,,
L129,0.25,,
L129,1.26,3,0.65
L129,1.02,,
L129,1.35,,
L129,1.47,,
L129,1.24,,
L129,0.24,,
L131,1.14,3,0.86073167
L131,1.26,,
L131,0.97,,
L131,1.34,2.5,0.889194946
L131,1.77,,
L131,0.78,,
L131,0.68,,
L131,1.56,,
L131,1.58,,
L131,1.52,,
L131,1.18,,
L137,1.36,1.5,0.878381948
L137,0.73,3,0.855685748
L137,1.3,,
L137,0.33,4.5,0.843924035
L137,0.83,3,0.720909158
L137,0.44,4,0.932325327
L137,0.6,0.5,0.900940367
L137,1.11,0.5,0.873924874
L137,0,,
L138,0.05,1,0.85886239
L138,0,rock,
L138,0,,
L138,0.08,8,0.724204707
L138,0.13,,
L139,0.09,,
L139,1.51,2,0.893962399
L141,0.32,3.5,0.737099485
L141,0.63,1.6,0.801650675
L141,1.49,,
L141,0.83,,
L141,1.32,3.6,0.897988534
L141,1.13,,
L141,1.43,,
L142,0.21,7.5,1
L142,0.42,,
L142,0.35,8,1
L142,1.13,,
L142,0.38,ground,0.7
L142,0.24,,
L142,1.33,,
L142,1.16,,
L144,0.83,2,0.609267818
L144,1.08,6,0.975345848
L144,1.6,,
L144,1.48,,
L145,0.66,4,0.891056466
L145,0.22,4.5,0.816584075
L145,0.3,9,0.95197259
L145,0.78,,
L145,1.31,,
L145,0.68,2,0.75
L145,0.66,,
L145,1.39,,
L145,1.34,,
L145,1.03,,
L145,0.64,,
L147,0.76,3.5,0.979709856
L147,0.97,3,0.995028026
L147,0.87,,
L147,0.8,3,0.897678395
L148,0.98,9,0.851773099
L148,1.19,,
L148,0.53,8,0.942324328
L148,0.88,,
L148,0.72,,
L148,1.15,2,0.865228772
L148,0.86,,
L148,1.1,,
L148,1.82,,
L148,1.43,,
L148,0.92,,
L148,0.47,,
L148,0.64,,
L148,1.43,,
L149,1.28,1,0.916564595
L149,0.85,,
L149,1.39,1.2,0.890258679
L149,0.57,3.5,0.932724146
L149,0.75,,
L149,1.76,,
L150,0.72,1.5,0.375
L150,0.17,,
L150,0.67,0,
L150,1.93,,
L150,2.15,,
L150,2.35,,
L150,1.22,,
L152,1.55,2,0.692000724
L152,0.67,,
L152,0.46,22,0.950153865
L152,1.26,9.5,0.880716639
L152,1.02,19,0.943882303
L152,1.41,,
L152,0.61,,
L152,1.21,4.5,0.877384198
L152,0.88,,
L152,1.17,,
L152,0.74,,
L152,0.67,,
L152,0.17,,
L152,1.67,,
L153,0.94,1,0.375
L153,0,ground,0.808802943
L153,2.83,,
L153,0.62,,
L153,1.45,,
L153,0.82,,
L158,0.26,2.5,0.799864989
L158,1.09,3.5,0.876276862
L158,1.28,2,0.719663144
L159,0.42,4.5,0.950797994
L159,0.33,1,0.924695363
L159,0.52,,
L159,0.34,3,0.923041298
L159,0.41,,
L159,0.22,2,0.780792799
L159,0.97,,
L159,0.72,,
L159,1.03,,
L159,1.45,,
L160,0.89,2,0.808511281
L166,0.7,1.5,0.978950533
L166,1.64,,
L166,0.74,,
L166,1.56,,
L167,1.66,,
L167,1.51,3,0.958410095
L169,1.4,0.5,0.95112713
L169,0.54,,
L169,0.37,,
L169,0,,
L175,1.74,,
L176,1.57,,
L176,1.54,12,0.862056197
L177,1.28,,
L302,1.31,1.8,0.897557434
L302,0.23,1.5,0.760549734
L302,0.63,9,0.956456714
L302,0.95,5.5,0.980712473
L302,0.78,0.5,0.949432506
L302,1.35,,
L302,0.35,,
L302,1.31,,
L302,1.22,2,0.967167367
L302,0.32,,
L302,1.02,,
L302,1.15,,
L302,0.35,,
L302,1.06,,
L302,0.8,,
L302,0.63,,
L302,0,,
L302,0.51,,
L304,0,ground,0.978903768
L304,1.18,4,0.851681682
L304,0.68,,
L304,2.04,5.3,0.987710401
L304,0.27,6.5,0.928451023
L304,1.24,5,0.98457508
L304,1.03,,
L304,0.44,,
L304,0.46,,
L304,0.87,,
L304,1.59,,
L304,0.15,,
L304,0.17,,
L304,0.39,2.5,0.935477037
L304,0.17,,
L304,1.17,,
L304,0.73,,
L305,0.85,4.5,1
L306,0.95,4,0.891048864
L306,1.01,,
L306,1.13,9,0.96888157
L306,1.22,,
L306,1.37,,
L306,1.23,4.5,0.834735017
L306,0.98,5.7,0.903864852
L306,0.89,,
L306,1.04,,
L306,0.745,11,0.953654592
L306,0.92,,
L306,1.39,1.4,0.930706504
L306,0.56,,
L306,1.3,,
L306,0.75,,
L306,1.05,,
L306,1.74,,
L306,1.94,,
L306,1.72,,
L306,0.82,,
L307,0.23,1.8,0.911156014
L307,1.2,5.5,0.942744556
L307,1.72,,
L307,0,ground,0.981785551
L307,1.33,5,0.96942447
L307,0.98,,
L307,0.31,4.2,0.997440562
L307,1.52,,
L307,2.81,5.5,0.830376915
L307,0.78,,
L307,0,,
L307,1.62,,
L307,0.96,,
L307,0.21,,
L307,1.48,,
L307,1.04,,
L307,0.25,,
L308,0.92,52,0.964073785
L308,0,ground,0.954941259
L308,0.95,,
L308,0.62,,
L308,0.71,,
L308,0.42,,
L308,0.1,3,0.762997517
L308,0.18,,
L308,0.16,,
L308,0.34,,
L308,0.84,,
L308,1.22,,
L310,1.47,7,0.970123924
L310,1.8,,
L310,0.8,,
L310,0.72,2.4,0.980202737
L310,0.92,,
L310,0.77,1.5,0.979347591
L310,1.01,,
L310,0.43,7.5,0.86307835
L310,0.24,,
L310,0.17,,
L310,1.05,4.5,0.938653502
L310,1.03,2.5,0.987990228
L310,1.27,,
L310,1.01,,
L310,0.94,,
L310,1.09,,
L310,0.26,,
L310,0.36,,
L311,0.52,6,0.943900029
L311,0.86,5.5,0.943407199
L311,1.14,,
L311,0.33,2,0.972499475
L311,0.64,4,0.915629908
L311,1.14,,
L311,0.35,3.5,0.833136807
L311,0.35,3.5,0.833136807
L311,1.42,,
L311,0.18,,
L311,0.65,,
L311,1.31,,
L311,0.61,,
L311,1.36,,
L311,0.41,,
L311,0.22,,
L318,1.33,2,0.919905115
L318,1.11,1.3,0.982028074
L318,,,
L318,1.19,1.2,0.968525629
L320,1.47,4,0.970133712
L320,0.62,5.2,0.848603572
L320,0.96,2,0.883997104
L320,0.94,,
L320,0.29,,
L320,0.87,,
L321,0.93,3.5,0.815518099
L323,0.69,3.5,0.997746075
L323,0.28,,
L323,0.42,,
L324,1.01,1.7,0.895830603
L324,1.85,,
L325,0.62,7.5,0.975134143
L325,1.12,6.4,0.891470749
L325,1.24,,
L326,0.68,4.5,0.715775164
L326,0,ground,0.902301799
L326,0.81,4,1
L326,1,,
L326,0.91,,
L326,0,,
L326,1.28,5,0.982388356
L326,1.44,,
L326,1.5,1.5,0.936002462
L326,1.41,,
L326,1.02,,
L326,1.5,,
L326,0.98,,
L326,0.87,,
L329,0.59,5,0.939452049
L329,1.05,5,0.952742688
L329,0.9,,
L329,0.82,,
L329,1.09,5.5,0.987781374
L329,1.18,4.5,0.970226682
L329,0,,
L331,1.24,1.5,0.736223454
L331,0.64,,
L334,0.13,0.8,0.832442575
L334,1.75,,
L341,0.81,,
L341,0.97,5,0.928405942
L341,0.69,,
L355,0.86,2,0.853681023
L355,0.4,1,0.937455325
L355,0.86,,
